team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2023,1,West Coast,20,L,46,1,,3,4,,1.0,,2.0,,,,,,,,1,3,,,1.0,,,58,2023-07-12
North Melbourne,2023,2↓,Melbourne,21,L,46,3,1.0,1,4,,1.0,,2.0,,1.0,1.0,1.0,,1.0,,1,3,,,,,,38,2023-07-19
North Melbourne,2024,3,Carlton,20,L,46,2,3.0,3,5,1.0,,,1.0,,,1.0,,,,,2,3,,1.0,,,,70,2024-07-12
North Melbourne,2024,4↓,Geelong,21,L,46,4,1.0,4,8,,,,1.0,1.0,1.0,,3.0,,1.0,,3,6,,,1.0,,,48,2024-07-19
North Melbourne,2024,5↑,Richmond,22,W,46,1,1.0,2,3,,,,1.0,,1.0,,1.0,,1.0,,1,3,,,,,,33,2024-07-26
North Melbourne,2024,6↓,West Coast,23,L,46,3,,7,10,1.0,,,1.0,,4.0,1.0,2.0,1.0,,,4,5,,,1.0,,1.0,50,2024-08-02
North Melbourne,2024,7,Western Bulldogs,24,L,46,9,4.0,3,12,2.0,1.0,,,,2.0,,2.0,,,,3,8,,1.0,,1.0,,77,2024-08-09
North Melbourne,2024,8,Hawthorn,25,L,46,7,1.0,6,13,,1.0,,,1.0,1.0,,2.0,1.0,,,6,6,,,1.0,1.0,1.0,75,2024-08-16
North Melbourne,2025,9,Western Bulldogs,2,L,46,6,1.0,9,15,,,,,,2.0,6.0,,,,,8,7,,,1.0,1.0,1.0,70,2025-03-08
North Melbourne,2025,10,Melbourne,3,W,46,7,3,8,15,,,,1,2,2,,4,,,,3,13,,,2,3,2,73,2025-03-15
North Melbourne,2025,11↓,Adelaide,4,L,46,6,3,,6,,,,1,,2,,3,,1,,,6,,,1,,,54,2025-03-22
North Melbourne,2025,12,Sydney,5,L,46,6,5,1,7,,,,,,1,,1,,,,,6,,,,1,,75,2025-03-29
