team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2025,1,Hawthorn,2,L,10,8,2,6,14,1,2,,1,,3,3,2,,1,,7,4,,,1,,,82,2025-03-08
Essendon,2025,2,Adelaide,3,L,10,6,2,3,9,2,,,2,,1,,5,,2,,3,5,,1,1,,,78,2025-03-15
Essendon,2025,3,Port Adelaide,4,W,10,5,1,5,10,,,,3,,2,,,,,,2,8,,,,,2,80,2025-03-22
Essendon,2025,4,Melbourne,6,W,10,5,4,4,9,,,,3,,3,1,1,,,,3,5,,,,,1,86,2025-04-05
Essendon,2025,5,West Coast,7,W,10,6,2,3,9,,,,2,,3,,1,1,,,1,6,,,1,,,76,2025-04-12
Essendon,2025,6,Collingwood,8,L,10,7,3,3,10,1,,,1,,1,,,,,,3,6,,2,1,,,86,2025-04-19
Essendon,2025,7,North Melbourne,9,W,10,5,1,7,12,1,,,,1,4,,1,,,,5,7,,,,3,,80,2025-04-26
Essendon,2025,8,Sydney,10,W,10,3,1,3,6,1,,,3,,,,1,1,,,1,4,,,,,1,76,2025-05-03
Essendon,2025,9,Western Bulldogs,11,L,10,3,1,4,7,,,,2,,2,1,,,,,1,6,,,,,,84,2025-05-10
Essendon,2025,10,Richmond,12,W,10,5,3,10,15,,,,1,,2,1,1,,,,5,9,,,1,,,76,2025-05-17
Essendon,2025,11,Brisbane Lions,13,L,10,6,2,5,11,,1,,2,,3,,2,1,1,,7,6,,1,1,1,,76,2025-05-24
Essendon,2025,12,Carlton,14,L,10,1,,9,10,,,,3,,2,,3,,2,,7,3,,,1,,,77,2025-05-31
Essendon,2025,13,Geelong,15,L,10,3,4,10,13,1,,,2,,1,,2,,,,5,8,,1,,,,77,2025-06-07
Essendon,2025,14,Fremantle,16,L,10,7,2,5,12,1,1,,2,,1,,1,,,,5,7,1,1,,1,1,85,2025-06-14
Essendon,2025,15,Gold Coast,18,L,10,8,3,9,17,1,,,5,,3,,,2,,,10,7,1,,,2,1,79,2025-06-28
Essendon,2025,16,Richmond,19,L,10,6,3,6,12,,1,,2,,4,,3,1,2,,2,10,,1,1,3,,92,2025-07-05
Essendon,2025,17,Greater Western Sydney,20,L,10,4,1,4,8,1,,,1,,4,3,,1,,,7,2,,,,1,,86,2025-07-12
Essendon,2025,18,Western Bulldogs,21,L,10,4,1,3,7,1,,,5,,1,2,1,,,,5,2,,,1,,1,89,2025-07-19
Essendon,2025,19,Sydney,22,L,10,5,,2,7,1,,,1,1,2,1,,,,,3,3,,,,1,,84,2025-07-26
Essendon,2025,20,Geelong,23,L,10,6,1,5,11,,1,,5,,2,3,1,,1,,6,4,,,,1,,81,2025-08-02
Essendon,2025,21,St Kilda,24,L,10,6,,6,12,,1,,4,,2,1,3,,2,,5,6,,,2,,1,78,2025-08-09
Essendon,2025,22,Carlton,25,L,10,9,6,10,19,2,1,,4,1,,2,1,,,,8,11,1,3,1,,,87,2025-08-16
Essendon,2025,23,Gold Coast,1,L,10,9,2,8,17,1,1,,4,,4,5,,1,,,10,7,,1,,,,78,2025-03-01
Essendon,2026,24,Port Adelaide,3,L,10,9,3,2,11,1,4,,1,,3,,1,1,,,3,6,1,3,,1,,88,2026-03-15
Essendon,2026,25,North Melbourne,4,L,10,6,1,6,12,1,,,1,,3,3,1,1,1,,6,5,,1,1,,,81,2026-03-22
Essendon,2026,26,Western Bulldogs,5,L,10,4,2,3,7,,,,,,2,2,3,,2,,4,3,,,,,,73,2026-03-29
Essendon,2026,27,Melbourne,6,W,10,6,2,13,19,2,,,3,1,3,,2,,,,8,10,,1,2,3,2,79,2026-04-05
Essendon,2026,28,Gold Coast,7,L,10,6,1,7,13,2,,,3,,3,,4,1,1,,6,8,,1,2,1,,83,2026-04-12
Essendon,2026,29,Collingwood,8,L,10,4,2,6,10,1,,,,1,3,1,3,,2,,6,4,,,2,,,80,2026-04-19
