team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2024,1,Greater Western Sydney,2,L,7,5.0,3.0,5.0,10.0,2.0,1.0,,1.0,,,1.0,,1.0,,,7.0,3.0,2.0,1.0,2.0,,,83,2024-03-08
North Melbourne,2024,2,Fremantle,3,L,7,12.0,11.0,3.0,15.0,,2.0,,2.0,,2.0,,2.0,,,,2.0,13.0,,2.0,,,,85,2024-03-15
North Melbourne,2024,3,Carlton,4,L,7,4.0,3.0,3.0,7.0,,,,1.0,,,,1.0,1.0,,,2.0,5.0,1.0,,1.0,,,85,2024-03-22
North Melbourne,2024,4,Brisbane Lions,5,L,7,7.0,4.0,5.0,12.0,1.0,2.0,,2.0,1.0,3.0,,2.0,2.0,,,4.0,8.0,,,,,,63,2024-03-29
North Melbourne,2024,5,Geelong,6,L,7,3.0,2.0,7.0,10.0,,,,1.0,,,1.0,2.0,,,,4.0,6.0,,,2.0,1.0,,78,2024-04-05
North Melbourne,2024,6,Hawthorn,7,L,7,3.0,1.0,4.0,7.0,,,,1.0,,2.0,,2.0,1.0,1.0,,2.0,6.0,,,,,,72,2024-04-12
North Melbourne,2024,7,Adelaide,8,L,7,7.0,4.0,2.0,9.0,2.0,1.0,,,1.0,,,,1.0,,,6.0,3.0,2.0,1.0,2.0,,2.0,58,2024-04-19
North Melbourne,2024,8,St Kilda,9,L,7,6.0,3.0,3.0,9.0,,1.0,,,,3.0,,1.0,1.0,1.0,,2.0,6.0,,,,,,75,2024-04-26
North Melbourne,2024,9,Essendon,11,L,7,2.0,2.0,2.0,4.0,1.0,,,,,2.0,,,1.0,,,2.0,3.0,,1.0,1.0,,,76,2024-05-10
North Melbourne,2024,10↓,Port Adelaide,12,L,7,1.0,,2.0,3.0,1.0,,,,,,,3.0,1.0,1.0,,2.0,1.0,,,,,,49,2024-05-17
North Melbourne,2024,11↑,Geelong,21,L,7,6.0,5.0,,6.0,2.0,,,,,2.0,,1.0,,1.0,,,6.0,,1.0,1.0,,,35,2024-07-19
North Melbourne,2024,12,Richmond,22,W,7,3.0,2.0,2.0,5.0,,1.0,,1.0,,2.0,,,1.0,,,4.0,1.0,2.0,1.0,1.0,,,71,2024-07-26
North Melbourne,2024,13↑,West Coast,23,L,7,,,,,,,,1.0,,,,,,,,,,,,1.0,,,27,2024-08-02
North Melbourne,2025,14,Gold Coast,6,L,7,6.0,4.0,3.0,9.0,2.0,1.0,,,,2.0,1.0,2.0,,,,2.0,7.0,,2.0,1.0,,,57,2025-04-05
North Melbourne,2025,15↑,Carlton,7,L,7,3.0,,2.0,5.0,1.0,,,2.0,,,,1.0,1.0,,,2.0,3.0,,,,,,46,2025-04-12
North Melbourne,2025,16↑,Port Adelaide,8,L,7,2.0,2.0,1.0,3.0,,,,1.0,,1.0,,,,,,,3.0,,,,,,18,2025-04-19
North Melbourne,2025,17,Essendon,9,L,7,5.0,2.0,4.0,9.0,1.0,2.0,,,,2.0,1.0,1.0,,,,4.0,5.0,1.0,1.0,,,,65,2025-04-26
North Melbourne,2025,18,Brisbane Lions,10,D,7,4.0,3.0,3.0,7.0,,1.0,,1.0,1.0,,1.0,,,,,1.0,6.0,,2.0,,,,67,2025-05-03
North Melbourne,2025,19↑,Richmond,11,W,7,1.0,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,28,2025-05-10
North Melbourne,2025,20,Western Bulldogs,18,L,7,3.0,1.0,3.0,6.0,,,,,,3.0,,1.0,1.0,,,3.0,3.0,,,,1.0,1.0,62,2025-06-28
North Melbourne,2025,21,Geelong,21,L,7,7.0,5.0,5.0,12.0,,,,,3.0,1.0,,2.0,,,,3.0,9.0,,,2.0,,1.0,75,2025-07-19
North Melbourne,2025,22,St Kilda,22,L,7,4,6,4,8,,,,,1,,,,,,,2,8,1,,1,,,63,2025-07-26
