team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2022,1,Greater Western Sydney,1,W,29,4.0,1.0,4.0,8.0,,,,1.0,,1.0,,,1.0,,,4.0,3.0,,1.0,,,1.0,67.0,2022-03-01
Sydney,2022,2,Geelong,2,W,29,,,,,,,,,,,,,,,,,,,,,,,,2022-03-08
Sydney,2023,3↓,Greater Western Sydney,7,L,29,1.0,1.0,2.0,3.0,,,,2.0,,,,1.0,,,,1.0,2.0,,,,,,43.0,2023-04-12
Sydney,2023,4↑,North Melbourne,10,W,29,,,2.0,2.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,18.0,2023-05-03
Sydney,2023,5,St Kilda,13,L,29,10.0,3.0,9.0,19.0,,,,6.0,1.0,5.0,7.0,6.0,1.0,1.0,,10.0,9.0,,,1.0,,,57.0,2023-05-24
Sydney,2023,6,Brisbane Lions,14,L,29,9.0,2.0,10.0,19.0,2.0,,,4.0,,5.0,4.0,5.0,1.0,,,9.0,10.0,1.0,,2.0,,,55.0,2023-05-31
Sydney,2023,7,West Coast,15,W,29,14.0,4.0,15.0,29.0,1.0,3.0,,4.0,4.0,3.0,4.0,2.0,2.0,,,12.0,17.0,1.0,1.0,,1.0,,73.0,2023-06-07
Sydney,2023,8,Geelong,16,D,29,10.0,6.0,11.0,21.0,,,,6.0,2.0,3.0,3.0,1.0,2.0,1.0,,6.0,15.0,,,,,1.0,71.0,2023-06-14
Sydney,2023,9,Richmond,17,L,29,5.0,3.0,9.0,14.0,,,,1.0,,4.0,1.0,,,,,5.0,10.0,,,,,,54.0,2023-06-21
Sydney,2025,10↓,Hawthorn,1,L,12,6.0,1.0,3.0,9.0,,,,2.0,,4.0,1.0,3.0,,1.0,,3.0,6.0,,,,,,48.0,2025-03-01
Sydney,2025,11↑,Fremantle,3,W,12,2.0,1.0,1.0,3.0,,1.0,,,1.0,1.0,,,,,,2.0,1.0,,,,,,14.0,2025-03-15
Sydney,2025,12↑,North Melbourne,5,W,12,8.0,3.0,4.0,12.0,1.0,,,1.0,,5.0,2.0,6.0,,,,5.0,7.0,,,,,,24.0,2025-03-29
Sydney,2025,13↑,Collingwood,6,L,12,6.0,1.0,7.0,13.0,1.0,,,6.0,1.0,2.0,1.0,1.0,,,,6.0,6.0,,1.0,1.0,,,38.0,2025-04-05
Sydney,2025,14↑,Greater Western Sydney,9,W,12,2.0,1.0,2.0,4.0,1.0,,,,,,2.0,,,,,3.0,2.0,,1.0,1.0,,,14.0,2025-04-26
Sydney,2025,15↑,Essendon,10,L,12,7.0,4.0,6.0,13.0,1.0,,,,1.0,2.0,1.0,,,,,5.0,8.0,,,,,,33.0,2025-05-03
Sydney,2025,16,Carlton,11,W,12,13.0,,8.0,21.0,,,,7.0,2.0,7.0,4.0,4.0,,,,8.0,10.0,,,1.0,,1.0,60.0,2025-05-10
Sydney,2025,17,Melbourne,12,L,12,19.0,,7.0,26.0,,,,5.0,1.0,9.0,5.0,5.0,1.0,2.0,,13.0,11.0,,,1.0,,,71.0,2025-05-17
Sydney,2025,18,Adelaide,13,L,12,15.0,2.0,7.0,22.0,,1.0,,6.0,1.0,5.0,4.0,4.0,1.0,1.0,,10.0,10.0,,,,,1.0,74.0,2025-05-24
Sydney,2025,19,Richmond,14,W,12,9.0,1.0,10.0,19.0,,,,7.0,,5.0,5.0,,3.0,,,10.0,10.0,,,1.0,,,74.0,2025-05-31
Sydney,2025,20,Port Adelaide,16,W,12,9.0,3.0,12.0,21.0,,2.0,,2.0,,3.0,4.0,1.0,,,,10.0,12.0,,,,,,71.0,2025-06-14
Sydney,2025,21,Western Bulldogs,17,L,12,9.0,2.0,7.0,16.0,,,,7.0,1.0,1.0,3.0,4.0,1.0,,,9.0,6.0,,,,,,61.0,2025-06-21
Sydney,2025,22,Fremantle,18,W,12,6,1,6,12,,,,6,,2,2,3,1,3,,11,3,,,,,,68,2025-06-28
