team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Hawthorn,2022,1,Western Bulldogs,23,L,27,10,7.0,1,11,,,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,3,9,1.0,,1.0,,,74,2022-08-02
Hawthorn,2023,2,Greater Western Sydney,5,L,27,7,3.0,3,10,1.0,,,6.0,,3.0,,3.0,,1.0,,3,8,,,1.0,1.0,1.0,75,2023-03-29
Hawthorn,2023,3,Adelaide,6,L,27,1,1.0,8,9,,1.0,1.0,7.0,,1.0,2.0,1.0,,1.0,,3,6,,1.0,1.0,,1.0,62,2023-04-05
Hawthorn,2023,4↑,Richmond,19,L,27,1,,2,3,,,,2.0,,,,1.0,,,,2,1,,,,,,33,2023-07-05
Hawthorn,2023,5,Melbourne,23,L,27,5,2.0,7,12,,,,1.0,2.0,1.0,,,1.0,,,4,8,,,,,,69,2023-08-02
Collingwood,2024,6↑,Essendon,18,L,44,5,1.0,4,9,,,,2.0,,3.0,,1.0,,1.0,,2,7,,,,,1.0,32,2024-06-28
Collingwood,2024,7,Geelong,19,L,44,2,2.0,7,9,,,,5.0,,2.0,,3.0,,1.0,,3,6,,,3.0,,1.0,73,2024-07-05
Collingwood,2024,8,Hawthorn,20,L,44,4,1.0,4,8,,,1.0,5.0,,1.0,,4.0,1.0,1.0,,4,4,,,1.0,,,75,2024-07-12
Collingwood,2024,9,Richmond,21,W,44,4,3.0,4,8,1.0,,,10.0,,1.0,,2.0,,1.0,,1,6,,1.0,1.0,,,71,2024-07-19
Collingwood,2024,10,Carlton,22,W,44,1,1.0,6,7,,,,5.0,,,2.0,3.0,,2.0,,2,5,,,1.0,,,59,2024-07-26
Collingwood,2024,11,Sydney,23,L,44,11,1.0,2,13,1.0,1.0,,6.0,,3.0,3.0,4.0,2.0,3.0,,6,6,,,1.0,,1.0,58,2024-08-02
Collingwood,2024,12↑,Brisbane Lions,24,W,44,4,1.0,1,5,,1.0,,4.0,1.0,2.0,,2.0,1.0,1.0,,1,5,,1.0,,,,30,2024-08-09
Collingwood,2025,13↑,Greater Western Sydney,1,L,44,5,3.0,4,9,,1.0,,,1.0,4.0,3.0,1.0,,1.0,,6,4,,,,,,26,2025-03-01
Collingwood,2025,14,Port Adelaide,2,W,44,12,1.0,12,24,,1.0,1.0,7.0,,2.0,5.0,5.0,3.0,2.0,,14,10,,,3.0,,2.0,72,2025-03-08
Collingwood,2025,15↑,Western Bulldogs,3,W,44,5,1.0,8,13,,1.0,,9.0,2.0,3.0,,2.0,1.0,,,2,11,,,,,1.0,75,2025-03-15
Collingwood,2025,16↑,Carlton,5,W,44,1,,5,6,1.0,,,3.0,,,,,,,,2,4,,,1.0,,,24,2025-03-29
Collingwood,2025,17,Sydney,6,W,44,13,4.0,16,29,,,,6.0,2.0,7.0,9.0,4.0,,1.0,,17,13,1.0,,1.0,,1.0,80,2025-04-05
Collingwood,2025,18,Brisbane Lions,7,W,44,6,2.0,15,21,1.0,,,6.0,1.0,3.0,5.0,3.0,,1.0,,7,15,,1.0,4.0,,,82,2025-04-12
Collingwood,2025,19,Essendon,8,W,44,11,7.0,11,22,1.0,,,4.0,,6.0,1.0,5.0,,1.0,,6,14,1.0,2.0,2.0,,3.0,67,2025-04-19
Collingwood,2025,20,Geelong,9,L,44,6,2.0,12,18,,,,9.0,1.0,1.0,4.0,2.0,2.0,1.0,,10,9,,,2.0,,,70,2025-04-26
Collingwood,2025,21,Fremantle,10,W,44,5,2.0,7,12,1.0,,,7.0,,,3.0,2.0,1.0,1.0,,5,8,,1.0,1.0,,,71,2025-05-03
Collingwood,2025,22,Adelaide,11,W,44,6,,13,19,,,,9.0,,3.0,5.0,4.0,,1.0,,10,9,,,1.0,,2.0,70,2025-05-10
Collingwood,2025,23,North Melbourne,12,W,44,8,2.0,21,29,,,,14.0,1.0,4.0,6.0,4.0,4.0,,,13,17,,,3.0,,2.0,79,2025-05-17
Collingwood,2025,24,Hawthorn,13,W,44,8,4.0,16,24,,,,11.0,,5.0,3.0,8.0,1.0,4.0,,10,13,,1.0,2.0,,2.0,79,2025-05-24
Collingwood,2025,25,Melbourne,14,W,44,11,5.0,10,21,1.0,1.0,,7.0,,3.0,,4.0,1.0,1.0,,7,14,,,2.0,,1.0,71,2025-05-31
Collingwood,2025,26,St Kilda,16,W,44,6,3.0,8,14,,,,8.0,,2.0,1.0,1.0,1.0,,,6,7,,,,,2.0,73,2025-06-14
Collingwood,2025,27,West Coast,17,W,44,9,3.0,12,21,,1.0,,6.0,3.0,2.0,6.0,6.0,1.0,2.0,,8,12,,1.0,,,1.0,74,2025-06-21
Collingwood,2025,28,Carlton,18,W,44,5,3,11,16,1,,,7,,2,1,4,1,1,,6,11,,,3,,,81,2025-06-28
