team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2025,1,North Melbourne,2,W,42,5,3,5,10,1.0,,,4,3.0,1,,4,,1.0,,2,9,,1.0,,,,75,2025-03-08
Western Bulldogs,2025,2,Collingwood,3,L,42,11,2,4,15,,,,3,2.0,4,3.0,2,1.0,,,5,10,1.0,,2.0,,1.0,77,2025-03-15
Western Bulldogs,2025,3,Carlton,4,W,42,20,10,11,31,,1.0,,3,,4,2.0,2,,,,7,24,1.0,,2.0,,1.0,80,2025-03-22
Western Bulldogs,2025,4,Fremantle,5,L,42,9,5,9,18,,1.0,,3,,1,,5,1.0,3.0,,7,13,,1.0,1.0,,,85,2025-03-29
Western Bulldogs,2025,5,Brisbane Lions,6,L,42,6,4,8,14,1,,,2,1,1,2,2,,1,,5,8,,,,,1,68,2025-04-05
Western Bulldogs,2025,6,St Kilda,7,W,42,12,8,9,21,,1,,2,,4,1,,,,,5,15,1,1,1,,1,84,2025-04-12
Western Bulldogs,2025,7,Greater Western Sydney,8,W,42,11,2,4,15,1,1,,,,5,,1,,1,,5,9,,,,,,84,2025-04-19
Western Bulldogs,2025,8↓,Port Adelaide,9,W,42,10,3,4,14,,2,,2,1,3,,2,,,,3,11,,1,,,,67,2025-04-26
Western Bulldogs,2025,9,Gold Coast,10,L,42,7,3,8,15,2,,,3,1,,,5,1,3,,6,12,,,,,,80,2025-05-03
Western Bulldogs,2025,10,Essendon,11,W,42,11,4,5,16,1,,,2,1,5,,3,,,,6,10,1,,,1,1,84,2025-05-10
Western Bulldogs,2025,11,Geelong,12,L,42,11,7,3,14,1,,,7,1,1,3,2,,,,6,9,1,1,2,,,75,2025-05-17
