team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2024,1,Port Adelaide,3,L,42,1,1,4.0,5,,,,2.0,1.0,1.0,,1.0,2.0,,,4.0,1,,1.0,1.0,1.0,1.0,79,2024-03-15
Richmond,2024,2↓,Sydney,4,W,42,3,2,,3,2.0,,,1.0,,2.0,,2.0,1.0,,,1.0,3,,1.0,2.0,,1.0,63,2024-03-22
Richmond,2024,3,St Kilda,5,L,42,2,2,5.0,7,1.0,1.0,,2.0,,2.0,,,,,,3.0,4,,2.0,3.0,,1.0,79,2024-03-29
Richmond,2024,4,West Coast,6,L,42,11,8,1.0,12,3.0,2.0,,5.0,,1.0,1.0,2.0,,,,4.0,10,,6.0,6.0,,1.0,80,2024-04-05
Richmond,2024,5,Melbourne,8,L,42,5,3,4.0,9,1.0,,3.0,2.0,,4.0,,3.0,1.0,1.0,,3.0,6,,,3.0,,1.0,94,2024-04-19
Richmond,2024,6,Fremantle,9,L,42,6,5,2.0,8,2.0,1.0,,3.0,,,1.0,4.0,,1.0,,3.0,6,,3.0,2.0,,,89,2024-04-26
Richmond,2024,7,Western Bulldogs,10,L,42,6,3,5.0,11,,,5.0,,,2.0,1.0,5.0,1.0,1.0,,4.0,7,,,2.0,,1.0,89,2024-05-03
Richmond,2024,8↓,Brisbane Lions,11,L,42,4,2,1.0,5,1.0,,7.0,1.0,,3.0,2.0,1.0,,1.0,,4.0,2,,1.0,1.0,,,41,2024-05-10
Richmond,2024,9,Essendon,12,L,42,2,2,3.0,5,2.0,,,2.0,,1.0,,1.0,,1.0,,4.0,1,1.0,2.0,4.0,,,88,2024-05-17
Richmond,2024,10,Geelong,13,L,42,5,3,2.0,7,2.0,1.0,,1.0,,,,2.0,1.0,2.0,,5.0,4,,2.0,4.0,,1.0,83,2024-05-24
Richmond,2025,11↓,Adelaide,17,L,42,2,1,,2,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1,,,,,,26,2025-06-21
Richmond,2026,12,Gold Coast,3,L,42,3,2,4.0,7,1.0,,4.0,5.0,,1.0,2.0,2.0,1.0,2.0,,7.0,2,1.0,1.0,1.0,1.0,,71,2026-03-15
Richmond,2026,13,Fremantle,4,L,42,1,3,5.0,6,,,2.0,5.0,,,2.0,4.0,,2.0,,5.0,3,,,2.0,,,80,2026-03-22
Richmond,2026,14,Port Adelaide,5,L,42,4,4,,4,,1.0,4.0,2.0,,2.0,,3.0,,1.0,,2.0,3,1.0,1.0,3.0,,,82,2026-03-29
Richmond,2026,15,Greater Western Sydney,6,L,42,4,2,2.0,6,4.0,,,5.0,,3.0,,2.0,2.0,1.0,,6.0,2,1.0,2.0,3.0,,,96,2026-04-05
Richmond,2026,16,North Melbourne,7,L,42,5,3,,5,,1.0,4.0,3.0,,1.0,1.0,,,,,,3,,2.0,2.0,,,88,2026-04-12
Richmond,2026,17,Melbourne,8,L,42,5,4,3.0,8,2.0,,1.0,3.0,,2.0,,3.0,1.0,,,5.0,4,1.0,1.0,1.0,2.0,1.0,87,2026-04-19
Richmond,2026,18,West Coast,9,W,42,6,5,5.0,11,1.0,2.0,,,,2.0,,3.0,3.0,,,6.0,5,1.0,1.0,4.0,,,95,2026-04-26
Richmond,2026,19,Adelaide,10,L,42,4,3,7.0,11,1.0,1.0,2.0,2.0,,2.0,1.0,2.0,1.0,,,6.0,5,1.0,1.0,2.0,,,85,2026-05-10
Richmond,2026,20,Essendon,12,W,42,7,4,3.0,10,1.0,,,5.0,,1.0,,3.0,,1.0,,4.0,5,,,4.0,,1.0,90,2026-05-17
Richmond,2026,21,Sydney,13,L,42,5,5,7.0,12,1.0,,,4.0,,1.0,,3.0,1.0,,,8.0,7,2.0,1.0,2.0,,,85,2026-05-24
Richmond,2026,22,Brisbane Lions,15,L,42,2,2,5.0,7,,,1.0,3.0,,,,1.0,1.0,1.0,,3.0,4,1.0,,1.0,1.0,,90,2026-06-07
Richmond,2026,23,North Melbourne,16,L,42,4,3,1,5,1,1,,2,,,,1,1,1,,3,2,1,2,1,,,93,2026-06-14
