team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2026,1,Carlton,2,L,24,13,7,6,19,,,,4,5,3,,3.0,2.0,,,5.0,13,,,1.0,1.0,,74,2026-03-08
Richmond,2026,2,Gold Coast,3,L,24,7,4,6,13,,,,2,2,1,,,,,,3.0,7,,,,,,73,2026-03-15
Richmond,2026,3,Fremantle,4,L,24,11,3,7,18,,,,3,2,1,1.0,2.0,,,,5.0,11,,,,1.0,,77,2026-03-22
Richmond,2026,4,Port Adelaide,5,L,24,11,5,8,19,,,,2,1,4,2.0,2.0,2.0,,,5.0,13,,,1.0,2.0,,70,2026-03-29
Richmond,2026,5,Greater Western Sydney,6,L,24,6,1,8,14,,,,5,1,1,,2.0,1.0,,,4.0,10,,,,1.0,,74,2026-04-05
Richmond,2026,6,North Melbourne,7,L,24,10,2,6,16,,,,2,3,2,,1.0,1.0,,,,14,,,,2.0,1.0,70,2026-04-12
Richmond,2026,7,Melbourne,8,L,24,9,2,12,21,,,,1,2,1,,2.0,,,,5.0,16,,,1.0,2.0,,81,2026-04-19
Richmond,2026,8,West Coast,9,W,24,6,2,3,9,,,,4,1,1,,3.0,1.0,1.0,,2.0,7,,,,1.0,,74,2026-04-26
Richmond,2026,9,St Kilda,11,L,24,8,5,9,17,,1.0,,5,1,4,,3.0,,,,,16,,,,1.0,1.0,82,2026-05-10
Richmond,2026,10,Essendon,12,W,24,9,3,4,13,,,,3,,3,1,5,1,2,,1,13,,,1,2,1,77,2026-05-17
