team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2021,1,Collingwood,4,W,18,7.0,2.0,4.0,11.0,,,,2.0,2.0,,,1.0,,,,1.0,8.0,,,,,,70.0,2021-03-22
Greater Western Sydney,2021,2,Sydney,5,W,18,6.0,4.0,7.0,13.0,,,,1.0,,4.0,,2.0,,,,6.0,8.0,,,3.0,,,68.0,2021-03-29
Greater Western Sydney,2021,3,Western Bulldogs,6,L,18,2.0,1.0,1.0,3.0,1.0,,,2.0,,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,,,78.0,2021-04-05
Greater Western Sydney,2021,4,Essendon,8,W,18,,,,,,,,,,,,,,,,,,,,,,,,2021-04-19
Greater Western Sydney,2021,5,Geelong,SF,L,18,6.0,1.0,2.0,8.0,2.0,1.0,,2.0,,1.0,,,,,,1.0,7.0,,,1.0,,1.0,78.0,2021-03-01
Greater Western Sydney,2022,6↓,Carlton,9,L,18,5.0,2.0,2.0,7.0,,2.0,,2.0,,,,2.0,1.0,,,2.0,4.0,,1.0,1.0,,,66.0,2022-04-26
Greater Western Sydney,2023,7↑,West Coast,2,L,18,3.0,,2.0,5.0,,,,3.0,,1.0,,1.0,1.0,,,4.0,3.0,,,1.0,,,48.0,2023-03-08
Greater Western Sydney,2023,8↑,Carlton,3,L,18,3.0,1.0,1.0,4.0,,,,1.0,1.0,1.0,,3.0,,1.0,,1.0,4.0,,,2.0,,,21.0,2023-03-15
Greater Western Sydney,2023,9↓,Essendon,4,L,18,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,2.0,,,,,1.0,61.0,2023-03-22
Greater Western Sydney,2024,10↓,Essendon,10,L,18,4.0,2.0,1.0,5.0,1.0,,,1.0,1.0,1.0,,1.0,,,,3.0,2.0,1.0,,,,,67.0,2024-05-03
Greater Western Sydney,2024,11↑,Western Bulldogs,11,L,18,3.0,,,3.0,,,,4.0,1.0,1.0,,1.0,2.0,1.0,,3.0,1.0,,,,,,56.0,2024-05-10
Greater Western Sydney,2024,12↑,Brisbane Lions,23,W,18,1.0,,1.0,2.0,,,,1.0,,,,1.0,,1.0,,,2.0,,,1.0,,,17.0,2024-08-02
Greater Western Sydney,2024,13↑,Fremantle,24,W,18,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,7.0,2024-08-09
Greater Western Sydney,2025,14,Collingwood,1,W,18,8.0,4.0,3.0,11.0,,,,2.0,6.0,1.0,,1.0,,,,4.0,7.0,,,4.0,,,77.0,2025-03-01
Greater Western Sydney,2025,15,Melbourne,2,W,18,4.0,2.0,7.0,11.0,,,,2.0,3.0,1.0,,3.0,,,,4.0,9.0,,,1.0,1.0,,72.0,2025-03-08
Greater Western Sydney,2025,16,Hawthorn,4,L,18,9,7,9,18,,,,1,5,1,,6,1,1,,2,16,,,2,,,68,2025-03-22
Greater Western Sydney,2025,17,West Coast,5,W,18,2,1,11,13,,,,,4,,,4,,1,,4,10,,,1,,,78,2025-03-29
