team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2025,1↑,Collingwood,7,L,20,5,2.0,1,6,,,,,3.0,1.0,1.0,1.0,,,,2.0,4,,,,,,22,2025-04-12
Brisbane Lions,2025,2↑,Western Bulldogs,20,W,20,1,1.0,4,5,,,,,,1.0,1.0,,,,,3.0,2,,,,,,13,2025-07-12
Brisbane Lions,2025,3↑,Gold Coast,21,L,20,4,1.0,5,9,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,4.0,5,,,1.0,,,37,2025-07-19
Brisbane Lions,2025,4,Collingwood,22,W,20,4,3.0,8,12,,,,1.0,,3.0,1.0,2.0,,1.0,,4.0,7,,,,,,69,2025-07-26
Brisbane Lions,2025,5,Sydney,23,L,20,7,3.0,4,11,,,,2.0,1.0,1.0,1.0,1.0,,,,2.0,9,,,,,,66,2025-08-02
Brisbane Lions,2025,6,Fremantle,24,W,20,14,8.0,7,21,,1.0,,3.0,3.0,2.0,1.0,1.0,1.0,,,4.0,17,,1.0,,,1.0,76,2025-08-09
Brisbane Lions,2025,7,Hawthorn,25,W,20,13,5.0,10,23,,,,,1.0,4.0,2.0,1.0,,,,5.0,17,,,,,,67,2025-08-16
Brisbane Lions,2025,8↑,Geelong,QF,L,20,1,,3,4,,,,3.0,,1.0,,,,,,,4,,,,,,22,2025-09-05
Brisbane Lions,2025,9↓,Gold Coast,SF,W,20,6,,5,11,,,,1.0,1.0,,1.0,1.0,,,,1.0,9,,,,,1.0,67,2025-09-13
Brisbane Lions,2025,10,Collingwood,PF,W,20,8,3.0,9,17,,,,2.0,,3.0,,1.0,1.0,,,5.0,12,,1.0,2.0,,,76,2025-09-20
Brisbane Lions,2025,11↓,Geelong,GF,W,20,1,1.0,3,4,,,,2.0,,1.0,,1.0,,,,1.0,3,,,,,,36,2025-09-27
Brisbane Lions,2026,12,Geelong,11,L,20,5,1.0,7,12,,,,1.0,2.0,,1.0,2.0,1.0,1.0,,3.0,7,,,2.0,,,71,2026-05-10
Brisbane Lions,2026,13,Greater Western Sydney,12,L,20,8,5.0,13,21,,,,3.0,3.0,3.0,,4.0,1.0,,,8.0,14,,,1.0,1.0,1.0,79,2026-05-17
