team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2023,1,Greater Western Sydney,11,L,34,10.0,3.0,5,15,,1.0,,2.0,2.0,1.0,,3.0,1.0,1.0,,4.0,10.0,,,1.0,,,74,2023-05-10
Geelong,2023,2,Western Bulldogs,12,W,34,3.0,1.0,7,10,,,,2.0,,1.0,1.0,1.0,,,,5.0,5.0,,,1.0,,,88,2023-05-17
Geelong,2023,3,North Melbourne,17,W,34,4.0,3.0,7,11,,,,3.0,1.0,2.0,,3.0,,,,3.0,7.0,,,2.0,,,82,2023-06-21
Geelong,2023,4↑,Essendon,18,W,34,,1.0,1,1,,,,,,,,,,,,,2.0,,,1.0,,,25,2023-06-28
Geelong,2023,5↑,Brisbane Lions,19,L,34,1.0,,1,2,,,,1.0,,,,,,,,1.0,,,,,,,19,2023-07-05
Geelong,2023,6,Western Bulldogs,24,L,34,4.0,4.0,6,10,,,,1.0,,,,2.0,,2.0,,4.0,6.0,1.0,,2.0,,,82,2023-08-09
Geelong,2024,7,Adelaide,3,W,34,3.0,1.0,4,7,,,,2.0,3.0,1.0,,,,,,2.0,5.0,,,1.0,,,85,2024-03-15
Geelong,2024,8,Hawthorn,4,W,34,11.0,1.0,4,15,,,,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,5.0,8.0,,,7.0,,,87,2024-03-22
Geelong,2024,9↑,Port Adelaide,10,L,34,3.0,1.0,7,10,,,,5.0,,1.0,1.0,2.0,,1.0,,7.0,2.0,,,1.0,,,51,2024-05-03
Geelong,2024,10,Gold Coast,11,L,34,6.0,3.0,7,13,,,,4.0,1.0,3.0,1.0,3.0,1.0,1.0,,5.0,8.0,,,1.0,2.0,,79,2024-05-10
Geelong,2024,11,Greater Western Sydney,12,L,34,2.0,2.0,6,8,,,,2.0,1.0,,,2.0,,1.0,,5.0,4.0,,,3.0,,,82,2024-05-17
Geelong,2024,12,Richmond,13,W,34,9.0,7.0,3,12,,,,3.0,1.0,2.0,,3.0,1.0,,,4.0,8.0,,1.0,1.0,,,80,2024-05-24
Geelong,2024,13,Sydney,14,L,34,8.0,3.0,7,15,,,,2.0,3.0,,1.0,1.0,1.0,,,9.0,6.0,,,1.0,,,93,2024-05-31
Geelong,2024,14↓,Carlton,16,L,34,2.0,,1,3,,,,3.0,1.0,1.0,,1.0,,,,2.0,1.0,,,,,,47,2024-06-14
Geelong,2024,15↑,Fremantle,23,W,34,2.0,3.0,3,5,,,,,1.0,1.0,,3.0,,3.0,,2.0,5.0,,,1.0,,,43,2024-08-02
Geelong,2024,16,St Kilda,24,L,34,5.0,,4,9,,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,5.0,4.0,,,1.0,,,77,2024-08-09
Geelong,2024,17,Port Adelaide,QF,W,34,3.0,2.0,6,9,,1.0,,2.0,2.0,,,2.0,,1.0,,2.0,8.0,,,1.0,,,86,2024-03-01
Geelong,2024,18,Brisbane Lions,PF,L,34,4.0,,6,10,,,,5.0,,2.0,1.0,2.0,1.0,,,6.0,5.0,,,2.0,1.0,,74,2024-03-01
Geelong,2025,19,Fremantle,2,W,34,5.0,4.0,1,6,,,,4.0,,,,1.0,,1.0,,1.0,5.0,,,1.0,,,88,2025-03-08
Geelong,2025,20,St Kilda,3,L,34,,,7,7,,,,2.0,,1.0,1.0,1.0,,1.0,,4.0,3.0,,,,,1.0,78,2025-03-15
Geelong,2025,21,Brisbane Lions,4,L,34,9.0,6.0,6,15,,,,1.0,1.0,1.0,,3.0,,3.0,,6.0,9.0,,1.0,1.0,,1.0,87,2025-03-22
Geelong,2025,22,Melbourne,5,W,34,14.0,8.0,2,16,,,,3.0,4.0,2.0,,5.0,2.0,1.0,,4.0,13.0,,,2.0,,,84,2025-03-29
Geelong,2025,23↓,Adelaide,6,W,34,5.0,4.0,3,8,,,,,,,,3.0,1.0,,,3.0,5.0,,,1.0,,,73,2025-04-05
Geelong,2025,24,Carlton,8,L,34,6.0,5.0,2,8,,,,2.0,4.0,,,7.0,,5.0,,1.0,7.0,1.0,,3.0,,,79,2025-04-19
Geelong,2025,25,Collingwood,9,W,34,7.0,1.0,2,9,,,,5.0,,2.0,4.0,2.0,2.0,,,5.0,4.0,,,1.0,,1.0,85,2025-04-26
Geelong,2025,26,Greater Western Sydney,10,L,34,4.0,3.0,4,8,,,,1.0,,1.0,,,1.0,,,2.0,6.0,,,3.0,,,90,2025-05-03
Geelong,2025,27,Port Adelaide,11,W,34,3.0,3.0,5,8,,,,7.0,,1.0,1.0,2.0,2.0,,,3.0,6.0,,,,,,83,2025-05-10
Geelong,2025,28,Western Bulldogs,12,W,34,7.0,5.0,3,10,,1.0,,7.0,,2.0,2.0,1.0,,1.0,,2.0,7.0,,1.0,1.0,,,72,2025-05-17
Geelong,2025,29,West Coast,13,W,34,5.0,2.0,4,9,,,,6.0,,1.0,2.0,2.0,1.0,,,4.0,5.0,,,1.0,,,66,2025-05-24
Geelong,2025,30,Gold Coast,14,W,34,4.0,1.0,4,8,,,,4.0,1.0,,2.0,3.0,,1.0,,4.0,4.0,,,,,,79,2025-05-31
Geelong,2025,31,Essendon,15,W,34,5.0,2.0,8,13,,,,3.0,,2.0,1.0,2.0,2.0,1.0,,1.0,11.0,,,,,1.0,73,2025-06-07
Geelong,2025,32,Brisbane Lions,16,L,34,3.0,3.0,7,10,,,,1.0,1.0,1.0,,1.0,,1.0,,5.0,5.0,1.0,,2.0,,,83,2025-06-14
Geelong,2025,33,Richmond,18,W,34,3.0,1.0,7,10,,,,2.0,,2.0,2.0,1.0,,,,7.0,3.0,,,1.0,,,69,2025-06-28
Geelong,2025,34,Greater Western Sydney,19,L,34,9.0,5.0,3,12,,1.0,,3.0,,5.0,3.0,1.0,1.0,,,4.0,8.0,1.0,,2.0,,,72,2025-07-05
Geelong,2025,35,St Kilda,20,W,34,8.0,5.0,2,10,,,,5.0,5.0,1.0,,2.0,1.0,1.0,,2.0,7.0,,,2.0,,,88,2025-07-12
Geelong,2025,36,North Melbourne,21,W,34,9,5,8,17,,1,,2,2,,2,1,1,1,,6,11,1,,,,,84,2025-07-19
