team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2022,1,Fremantle,1,L,8,13,5.0,1,14,5.0,1.0,,3.0,,2.0,1.0,,1.0,,1.0,6.0,7,,3.0,1.0,,,85,2022-03-01
Adelaide,2022,2,Collingwood,2,L,8,9,4.0,11,20,1.0,,,1.0,1.0,2.0,2.0,6.0,1.0,1.0,,8.0,13,,1.0,1.0,,,89,2022-03-08
Adelaide,2022,3,Port Adelaide,3,W,8,6,2.0,4,10,1.0,,,2.0,,1.0,3.0,4.0,2.0,2.0,,6.0,5,,,3.0,,,87,2022-03-15
Adelaide,2022,4,Essendon,4,L,8,13,9.0,6,19,3.0,1.0,,1.0,1.0,2.0,,3.0,,,,8.0,10,,2.0,,1.0,1.0,82,2022-03-22
Adelaide,2022,5,Richmond,5,W,8,8,3.0,3,11,2.0,2.0,,,,2.0,1.0,3.0,,,,2.0,8,,2.0,2.0,1.0,1.0,82,2022-03-29
Adelaide,2022,6,Western Bulldogs,6,W,8,6,3.0,3,9,,2.0,,2.0,1.0,2.0,1.0,3.0,,1.0,,5.0,4,1.0,3.0,1.0,1.0,,84,2022-04-05
Adelaide,2022,7,Greater Western Sydney,7,L,8,5,2.0,6,11,,,,4.0,,1.0,3.0,3.0,,2.0,,7.0,6,,,1.0,,,80,2022-04-12
Adelaide,2022,8,Carlton,8,L,8,10,2.0,2,12,1.0,2.0,,2.0,1.0,,,3.0,,,,3.0,11,,,1.0,,,85,2022-04-19
Adelaide,2022,9,Brisbane Lions,9,L,8,5,2.0,3,8,1.0,1.0,,1.0,,1.0,3.0,3.0,2.0,1.0,,3.0,4,,1.0,,,1.0,81,2022-04-26
Adelaide,2022,10↓,St Kilda,10,L,8,6,,5,11,1.0,1.0,,1.0,,3.0,1.0,2.0,1.0,,,5.0,5,,,,,,68,2022-05-03
Adelaide,2022,11,Gold Coast,14,L,8,4,1.0,6,10,1.0,,,,,1.0,1.0,3.0,,2.0,,5.0,5,,,1.0,,,71,2022-05-31
Adelaide,2022,12,North Melbourne,15,W,8,5,2.0,1,6,,1.0,,4.0,,1.0,,3.0,,2.0,,2.0,4,,1.0,,,1.0,78,2022-06-07
Adelaide,2022,13,Melbourne,16,L,8,3,1.0,2,5,1.0,,,3.0,,,,,1.0,,,3.0,2,1.0,1.0,,,,68,2022-06-14
Adelaide,2023,14,Greater Western Sydney,1,L,8,14,6.0,4,18,3.0,1.0,,4.0,2.0,3.0,3.0,3.0,2.0,,,7.0,13,,1.0,1.0,,,83,2023-03-01
Adelaide,2023,15,Richmond,2,L,8,13,4.0,6,19,2.0,1.0,,2.0,,4.0,2.0,4.0,1.0,,,7.0,11,1.0,1.0,,1.0,,85,2023-03-08
Adelaide,2023,16,Port Adelaide,3,W,8,11,4.0,7,18,1.0,1.0,,3.0,1.0,7.0,2.0,2.0,,1.0,,5.0,13,,2.0,1.0,,,81,2023-03-15
Adelaide,2023,17,Fremantle,4,W,8,14,3.0,6,20,3.0,1.0,,2.0,,4.0,,6.0,2.0,2.0,,6.0,15,,,1.0,,,84,2023-03-22
Adelaide,2023,18,Carlton,5,W,8,12,8.0,10,22,1.0,,,3.0,1.0,3.0,2.0,5.0,1.0,1.0,,10.0,14,1.0,1.0,1.0,,,77,2023-03-29
Adelaide,2023,19,Hawthorn,6,W,8,14,6.0,7,21,,2.0,,7.0,,8.0,1.0,5.0,1.0,1.0,,4.0,17,,1.0,1.0,2.0,1.0,78,2023-04-05
Adelaide,2023,20,Collingwood,7,L,8,12,6.0,6,18,,4.0,,2.0,1.0,1.0,2.0,3.0,1.0,,,6.0,13,,2.0,,,,81,2023-04-12
Adelaide,2023,21,Geelong,8,L,8,7,1.0,1,8,,,,1.0,,1.0,,2.0,,1.0,,1.0,7,,,,,1.0,69,2023-04-19
Adelaide,2023,22,St Kilda,9,W,8,9,7.0,6,15,1.0,2.0,,5.0,1.0,2.0,,1.0,1.0,1.0,,3.0,12,,3.0,2.0,1.0,,82,2023-04-26
Adelaide,2023,23,Western Bulldogs,10,L,8,12,3.0,4,16,2.0,1.0,,2.0,,1.0,1.0,3.0,,,,6.0,8,,1.0,1.0,2.0,,82,2023-05-03
Adelaide,2023,24,Brisbane Lions,11,W,8,11,4.0,4,15,1.0,,,,1.0,3.0,1.0,1.0,1.0,,,2.0,14,,,1.0,,3.0,74,2023-05-10
Adelaide,2023,25,Gold Coast,12,L,8,8,3.0,4,12,1.0,1.0,,5.0,2.0,2.0,2.0,3.0,3.0,2.0,,6.0,6,,2.0,1.0,,1.0,83,2023-05-17
Adelaide,2023,26,West Coast,13,W,8,9,3.0,6,15,1.0,1.0,,3.0,,4.0,3.0,3.0,,1.0,,6.0,8,,,,,4.0,85,2023-05-24
Adelaide,2023,27,Collingwood,15,L,8,5,3.0,6,11,,3.0,,2.0,1.0,1.0,,,,,,5.0,6,,2.0,1.0,,,87,2023-06-07
Adelaide,2023,28,North Melbourne,16,W,8,11,3.0,12,23,,2.0,,7.0,1.0,4.0,5.0,3.0,4.0,,,13.0,10,1.0,2.0,2.0,1.0,,73,2023-06-14
Adelaide,2023,29,Essendon,17,L,8,6,2.0,9,15,,,,5.0,1.0,3.0,4.0,2.0,,1.0,,7.0,8,,,3.0,,1.0,81,2023-06-21
Adelaide,2023,30,Greater Western Sydney,18,L,8,6,2.0,3,9,1.0,1.0,,2.0,2.0,1.0,,5.0,3.0,1.0,,4.0,6,,,,1.0,,69,2023-06-28
Adelaide,2023,31,Gold Coast,21,W,8,5,4.0,2,7,,,,2.0,,1.0,,3.0,,1.0,,2.0,6,1.0,1.0,1.0,,1.0,78,2023-07-19
Adelaide,2023,32↑,Brisbane Lions,22,L,8,5,1.0,2,7,1.0,1.0,,6.0,,,1.0,1.0,1.0,,,3.0,3,,,1.0,,1.0,34,2023-07-26
Adelaide,2023,33,Sydney,23,L,8,9,,5,14,2.0,2.0,,4.0,,,,6.0,1.0,1.0,,6.0,7,,,,,,67,2023-08-02
Adelaide,2023,34,West Coast,24,W,8,11,8.0,7,18,3.0,1.0,,3.0,,3.0,1.0,1.0,,1.0,,2.0,15,,3.0,,2.0,1.0,72,2023-08-09
Adelaide,2024,35,Gold Coast,2,L,8,10,2.0,7,17,3.0,,,3.0,,1.0,1.0,3.0,1.0,1.0,,9.0,7,,1.0,2.0,,,76,2024-03-08
Adelaide,2024,36,Geelong,3,L,8,11,6.0,6,17,1.0,,,1.0,1.0,3.0,,5.0,,1.0,,6.0,10,1.0,1.0,1.0,,,79,2024-03-15
