team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2024,1,Gold Coast,9,W,38,13,4.0,,13,,,,,2.0,5.0,,2.0,1.0,,,2.0,11,,,,,,60,2024-04-26
Brisbane Lions,2024,2,Adelaide,10,D,38,10,4.0,5.0,15,,,,1.0,1.0,4.0,1.0,2.0,1.0,,,6.0,8,,,2.0,,,53,2024-05-03
Brisbane Lions,2024,3,Richmond,11,W,38,10,7.0,2.0,12,1.0,,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,4.0,9,,1.0,,,1.0,68,2024-05-10
Brisbane Lions,2024,4,Hawthorn,12,L,38,8,6.0,2.0,10,,1.0,,2.0,1.0,1.0,,,,,,2.0,8,,1.0,1.0,,,66,2024-05-17
Brisbane Lions,2024,5,Western Bulldogs,14,W,38,10,3.0,3.0,13,,,,5.0,1.0,3.0,2.0,1.0,1.0,,,4.0,9,,,1.0,1.0,1.0,77,2024-05-31
Brisbane Lions,2024,6,St Kilda,15,W,38,12,7.0,1.0,13,,1.0,,,2.0,4.0,,2.0,,1.0,,2.0,12,,,,,1.0,76,2024-06-07
Brisbane Lions,2024,7,Port Adelaide,16,W,38,8,1.0,9.0,17,2.0,,,3.0,3.0,1.0,1.0,3.0,,1.0,,3.0,14,,,1.0,,,72,2024-06-14
Brisbane Lions,2024,8,Melbourne,17,W,38,12,5.0,6.0,18,,,,4.0,3.0,1.0,2.0,2.0,1.0,1.0,,7.0,12,,,,,,72,2024-06-21
Brisbane Lions,2024,9,Adelaide,18,W,38,6,1.0,3.0,9,,,,1.0,1.0,3.0,,2.0,,,,2.0,6,,,,,2.0,74,2024-06-28
Brisbane Lions,2024,10↑,West Coast,19,W,38,1,1.0,,1,,,,1.0,,,,,,,,,1,,,,,,9,2024-07-05
Brisbane Lions,2024,11↑,Sydney,20,W,38,2,1.0,,2,,,,,,,,,,,,1.0,1,,,,,,23,2024-07-12
Brisbane Lions,2024,12↑,St Kilda,22,W,38,3,2.0,3.0,6,1.0,,,,,2.0,,,,,,,6,,,1.0,,,27,2024-07-26
Brisbane Lions,2025,13↓,West Coast,3,W,38,5,3.0,3.0,8,,,,2.0,1.0,1.0,,2.0,,,,1.0,7,,,,,,48,2025-03-15
Brisbane Lions,2025,14↑,Geelong,1,W,38,5,2.0,2.0,7,1.0,,,1.0,1.0,2.0,,,,,,2.0,5,,,1.0,2.0,1.0,32,2025-03-01
Brisbane Lions,2025,15,Richmond,5,W,38,7,5.0,2.0,9,1.0,,,3.0,,1.0,1.0,2.0,,,,2.0,7,,1.0,1.0,,1.0,75,2025-03-29
Brisbane Lions,2025,16↓,Western Bulldogs,6,W,38,8,4.0,6.0,14,,,,2.0,3.0,,1.0,3.0,,1.0,,1.0,12,,,,,,47,2025-04-05
Brisbane Lions,2025,17↑,Geelong,16,W,38,1,1.0,1.0,2,,,,,,1.0,,,,,,2.0,1,,,1.0,,,13,2025-06-14
Brisbane Lions,2025,18↓,Western Bulldogs,20,W,38,4,2.0,7.0,11,,,,,2.0,,2.0,,,,,5.0,6,,,1.0,,,68,2025-07-12
Brisbane Lions,2025,19↑,Collingwood,22,W,38,7,4.0,4.0,11,,,,2.0,6.0,,1.0,1.0,1.0,,,3.0,8,,,,,,56,2025-07-26
Brisbane Lions,2025,20,Sydney,23,L,38,4,2.0,3.0,7,,,,3.0,1.0,2.0,,1.0,,,,2.0,5,1.0,,1.0,,1.0,68,2025-08-02
Brisbane Lions,2025,21,Fremantle,24,W,38,10,4.0,3.0,13,,1.0,,1.0,,2.0,,1.0,,,,4.0,8,,1.0,,,2.0,70,2025-08-09
Brisbane Lions,2025,22,Hawthorn,25,W,38,11,5.0,4.0,15,1.0,1.0,,3.0,1.0,4.0,1.0,1.0,1.0,,,4.0,11,,1.0,1.0,,1.0,68,2025-08-16
Brisbane Lions,2025,23↑,Gold Coast,SF,W,38,1,,1.0,2,,,,,,,,1.0,,,,,2,,,,,,17,2025-09-13
Brisbane Lions,2025,24↑,Collingwood,PF,W,38,8,4.0,2.0,10,,,,,2.0,2.0,1.0,1.0,,,,1.0,8,,,,,1.0,46,2025-09-20
Brisbane Lions,2025,25,Geelong,GF,W,38,7,3.0,4.0,11,,1.0,,2.0,1.0,3.0,1.0,4.0,,3.0,,5.0,6,,,1.0,2.0,1.0,66,2025-09-27
Brisbane Lions,2026,26,Western Bulldogs,1,L,38,12,3.0,6.0,18,,,,2.0,1.0,6.0,2.0,1.0,1.0,,,6.0,13,,,,,,73,2026-03-01
Brisbane Lions,2026,27,Sydney,2,L,38,10,3.0,3.0,13,2.0,,,2.0,1.0,4.0,3.0,,,,,6.0,6,,1.0,,,,77,2026-03-08
Brisbane Lions,2026,28,St Kilda,4,W,38,12,7.0,8.0,20,,2.0,,2.0,1.0,4.0,1.0,1.0,,1.0,,4.0,17,,1.0,,,1.0,72,2026-03-22
Brisbane Lions,2026,29,Collingwood,5,W,38,13,8.0,2.0,15,1.0,1.0,,1.0,1.0,4.0,,2.0,,,,3.0,12,1.0,1.0,1.0,,,69,2026-03-29
Brisbane Lions,2026,30,North Melbourne,6,W,38,7,3.0,5.0,12,,1.0,,1.0,2.0,2.0,1.0,2.0,,1.0,,4.0,8,,1.0,3.0,,,77,2026-04-05
Brisbane Lions,2026,31,Melbourne,7,L,38,16,9.0,4.0,20,,1.0,,,2.0,4.0,1.0,,,,,4.0,15,,1.0,,,1.0,70,2026-04-12
Brisbane Lions,2026,32,Adelaide,8,W,38,5,1.0,2.0,7,,,,1.0,,2.0,3.0,3.0,,2.0,,5.0,3,,,,1.0,,65,2026-04-19
Brisbane Lions,2026,33,Essendon,9,W,38,14,7.0,3.0,17,1.0,,,,2.0,4.0,1.0,4.0,,1.0,,4.0,12,1.0,1.0,,,,73,2026-04-26
Brisbane Lions,2026,34,Carlton,10,W,38,15,7.0,9.0,24,,2.0,,3.0,4.0,4.0,1.0,3.0,2.0,1.0,,8.0,17,1.0,1.0,,,,73,2026-05-03
Brisbane Lions,2026,35,Geelong,11,L,38,10,1.0,7.0,17,,,,4.0,5.0,2.0,2.0,2.0,,1.0,,6.0,8,,,3.0,,,87,2026-05-10
Brisbane Lions,2026,36,Greater Western Sydney,12,L,38,6,5.0,5.0,11,,,,,,4.0,,1.0,,,,3.0,8,1.0,,1.0,,,68,2026-05-17
Brisbane Lions,2026,37,Fremantle,13,L,38,7,4.0,5.0,12,,,,,3.0,2.0,,2.0,,2.0,,1.0,12,,,1.0,,,81,2026-05-24
Brisbane Lions,2026,38,Gold Coast,14,W,38,11,5.0,5.0,16,,,,3.0,2.0,4.0,,1.0,,1.0,,4.0,12,,,,,1.0,71,2026-05-31
Brisbane Lions,2026,39,Richmond,15,W,38,9,3.0,3.0,12,1.0,1.0,,,1.0,2.0,1.0,,,,,3.0,9,,,,,,60,2026-06-07
Brisbane Lions,2026,40,Sydney,17,W,38,8,5,2,10,,,,1,1,3,,2,,2,,1,9,,,1,,1,76,2026-06-21
