team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2025,1↑,Greater Western Sydney,2,L,19,3,1.0,2,5,,,,,,1.0,,,,,,2.0,2,,,,,,21,2025-03-08
Melbourne,2025,2,Gold Coast,4,L,19,10,3.0,16,26,1.0,1.0,,1.0,1.0,5.0,6.0,5.0,2.0,3.0,,15.0,12,,,,,2.0,66,2025-03-22
Melbourne,2025,3,Geelong,5,L,19,4,,7,11,1.0,,,1.0,1.0,1.0,3.0,2.0,,,,6.0,5,,,1.0,,,63,2025-03-29
Melbourne,2025,4,Essendon,6,L,19,11,5.0,12,23,,,,1.0,1.0,2.0,3.0,5.0,1.0,,,8.0,15,,,,,,73,2025-04-05
Melbourne,2025,5,Fremantle,7,W,19,10,2.0,7,17,2.0,,,2.0,1.0,5.0,,3.0,,2.0,,5.0,13,,,1.0,2.0,1.0,86,2025-04-12
Melbourne,2025,6,Richmond,8,W,19,11,4.0,10,21,,1.0,,2.0,1.0,3.0,2.0,4.0,,,,8.0,13,,1.0,1.0,,,78,2025-04-19
Melbourne,2025,7,West Coast,9,W,19,14,4.0,11,25,,1.0,,,4.0,4.0,5.0,3.0,1.0,,,9.0,15,,,2.0,,,78,2025-04-26
Melbourne,2025,8,Hawthorn,10,L,19,16,6.0,6,22,3.0,,,1.0,3.0,2.0,2.0,4.0,1.0,2.0,,7.0,15,1.0,1.0,1.0,,,82,2025-05-03
Melbourne,2025,9,Brisbane Lions,11,W,19,11,7.0,8,19,,,,1.0,2.0,2.0,,4.0,,,,,17,,,1.0,,,79,2025-05-10
Melbourne,2025,10,Sydney,12,W,19,11,3.0,10,21,,1.0,,1.0,2.0,4.0,3.0,2.0,,,,9.0,12,,,1.0,1.0,1.0,85,2025-05-17
Melbourne,2025,11,St Kilda,13,L,19,6,2.0,4,10,,,,1.0,,5.0,1.0,1.0,,,,5.0,6,,,1.0,,,73,2025-05-24
Melbourne,2025,12,Collingwood,14,L,19,11,3.0,8,19,,,,,5.0,2.0,,2.0,,1.0,,5.0,14,,,1.0,,,84,2025-05-31
Melbourne,2025,13,Port Adelaide,15,L,19,8,2.0,11,19,,,,1.0,1.0,4.0,2.0,4.0,,2.0,,7.0,12,,,3.0,,1.0,83,2025-06-07
Melbourne,2025,14,Gold Coast,17,L,19,8,2.0,11,19,,,,1.0,2.0,3.0,1.0,3.0,,1.0,,9.0,10,,,2.0,,,72,2025-06-21
Melbourne,2025,15,Adelaide,18,L,19,9,2.0,8,17,,,,3.0,4.0,2.0,3.0,,,,,6.0,10,,,1.0,,,78,2025-06-28
Melbourne,2025,16,North Melbourne,19,W,19,13,5.0,11,24,,,,3.0,4.0,6.0,2.0,4.0,1.0,,,7.0,17,,,2.0,1.0,3.0,81,2025-07-05
Melbourne,2025,17,Carlton,20,L,19,10,6.0,10,20,,,,,1.0,1.0,1.0,6.0,,1.0,,5.0,13,,,,,,82,2025-07-12
Melbourne,2025,18,St Kilda,21,L,19,7,1.0,3,10,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,,3.0,7,,,2.0,,,76,2025-07-19
Melbourne,2025,19,West Coast,22,W,19,10,2.0,6,16,3.0,,,1.0,,5.0,2.0,2.0,2.0,,,6.0,10,,2.0,,,,86,2025-07-26
Melbourne,2025,20,Western Bulldogs,23,L,19,7,4.0,7,14,1.0,,,2.0,2.0,4.0,,1.0,1.0,,,6.0,8,1.0,1.0,2.0,,1.0,79,2025-08-02
Melbourne,2025,21,Hawthorn,24,L,19,4,,7,11,1.0,1.0,,3.0,,,1.0,2.0,,,,6.0,5,,,,,,84,2025-08-09
Melbourne,2025,22,Collingwood,25,L,19,14,7.0,12,26,1.0,,,1.0,3.0,3.0,2.0,2.0,1.0,1.0,,10.0,16,2.0,,1.0,,,74,2025-08-16
Melbourne,2026,23,St Kilda,2,W,4,4,1.0,5,9,,,,1.0,,2.0,2.0,1.0,,,,4.0,5,,,,,2.0,72,2026-03-08
