team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2025,1,Geelong,15,L,46,2,1.0,2,4,,,,,1.0,,,,,,,2,2,,,7.0,,,85,2025-06-07
Essendon,2025,2,Fremantle,16,L,46,3,,8,11,,,,2.0,1.0,,,2.0,,,,8,3,,,5.0,,,88,2025-06-14
Essendon,2025,3,Gold Coast,18,L,46,4,3.0,7,11,,,,,1.0,,,3.0,2.0,1.0,,5,7,,,5.0,,,100,2025-06-28
Essendon,2025,4,Richmond,19,L,46,9,5.0,1,10,,,11.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,,5,6,,,3.0,,,80,2025-07-05
Essendon,2025,5,Greater Western Sydney,20,L,46,9,6.0,6,15,,,1.0,2.0,5.0,1.0,,2.0,4.0,,,7,8,1.0,,3.0,,,100,2025-07-12
Essendon,2025,6,Western Bulldogs,21,L,46,3,2.0,7,10,,,,1.0,,,,3.0,,3.0,,4,6,,,5.0,,,91,2025-07-19
Essendon,2025,7,Sydney,22,L,46,5,2.0,6,11,1.0,,7.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,,3,8,,,2.0,,,90,2025-07-26
Essendon,2025,8,Geelong,23,L,46,4,,2,6,,,,1.0,,,,1.0,1.0,,,4,2,,,3.0,,,97,2025-08-02
Essendon,2025,9,St Kilda,24,L,46,7,4.0,7,14,,,,1.0,2.0,2.0,,2.0,1.0,2.0,,9,6,1.0,,3.0,1.0,,100,2025-08-09
Essendon,2025,10,Carlton,25,L,46,3,1.0,4,7,,,,2.0,,,1.0,,,,,4,5,,,5.0,,,100,2025-08-16
Essendon,2026,12,Hawthorn,2,L,46,3,1.0,6,9,,,19.0,4.0,1.0,2.0,5.0,5.0,3.0,5.0,,8,1,,,1.0,,,83,2026-03-08
Essendon,2026,13,Port Adelaide,3,L,46,4,,5,9,,,20.0,3.0,,1.0,,5.0,2.0,4.0,,7,4,,,2.0,,,80,2026-03-15
Essendon,2026,14,North Melbourne,4,L,46,8,5.0,4,12,1.0,1.0,18.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,,5,7,,2.0,,,1.0,70,2026-03-22
Essendon,2026,15,Western Bulldogs,5,L,46,2,,4,6,,,13.0,2.0,2.0,,1.0,2.0,1.0,1.0,,3,4,,,3.0,,,73,2026-03-29
Essendon,2026,16,Melbourne,6,W,46,4,3.0,4,8,,,7.0,2.0,2.0,,1.0,3.0,,1.0,,4,5,,,3.0,,,83,2026-04-05
Essendon,2026,17,Gold Coast,7,L,46,6,3.0,1,7,,,8.0,1.0,,2.0,,4.0,1.0,1.0,,4,4,1.0,,4.0,,,81,2026-04-12
Essendon,2026,18,Collingwood,8,L,46,2,,6,8,,,11.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,,7,2,,,3.0,1.0,,82,2026-04-19
Essendon,2026,19,Brisbane Lions,9,L,46,3,,7,10,1.0,,4.0,1.0,3.0,,1.0,1.0,,,,2,7,,,3.0,,,83,2026-04-26
Essendon,2026,20,Greater Western Sydney,10,L,46,9,3,6,15,,,,3,2,,2,5,,3,,8,6,,,7,,,100,2026-05-03
