team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2023,1,Sydney,17,W,41,9.0,1.0,4.0,13.0,,,,,3.0,,,4.0,1.0,,,5.0,6,,,3.0,,,65,2023-06-21
Richmond,2023,2,West Coast,18,W,41,6.0,2.0,4.0,10.0,,,,1.0,3.0,1.0,1.0,,,,,2.0,7,,,2.0,,,74,2023-06-28
Richmond,2023,3,Hawthorn,19,W,41,13.0,3.0,5.0,18.0,,,,4.0,3.0,4.0,2.0,2.0,,,,4.0,14,,,2.0,,,75,2023-07-05
Richmond,2023,4,Melbourne,20,L,41,12.0,6.0,3.0,15.0,,,,2.0,7.0,1.0,,4.0,1.0,,,1.0,11,,,,,,80,2023-07-12
Richmond,2023,5,Western Bulldogs,21,L,41,7.0,2.0,6.0,13.0,,,,1.0,4.0,1.0,,1.0,,1.0,,2.0,10,,,2.0,,1.0,82,2023-07-19
Richmond,2023,6,Port Adelaide,24,L,41,8.0,3.0,5.0,13.0,1.0,2.0,,,,2.0,,2.0,1.0,,,5.0,8,1.0,1.0,2.0,,,84,2023-08-09
Richmond,2024,7,Gold Coast,1,L,41,7.0,4.0,4.0,11.0,,,,3.0,1.0,,,2.0,,1.0,,4.0,7,1.0,,,,,79,2024-03-01
Richmond,2024,8↓,Port Adelaide,3,L,41,3.0,1.0,2.0,5.0,,,,1.0,,1.0,1.0,2.0,,1.0,,1.0,4,,,1.0,,,60,2024-03-15
Richmond,2024,9↑,Sydney,4,W,41,3.0,1.0,2.0,5.0,,,,1.0,1.0,1.0,,,,,,2.0,3,,,,,,10,2024-03-22
Richmond,2024,10,Melbourne,8,L,41,10.0,4.0,2.0,12.0,,,,3.0,1.0,3.0,,3.0,,1.0,,2.0,11,,,3.0,,,81,2024-04-19
Richmond,2024,11,Fremantle,9,L,41,10.0,2.0,3.0,13.0,,,,,1.0,2.0,1.0,3.0,1.0,,,4.0,8,,,1.0,,,71,2024-04-26
Richmond,2024,12,Western Bulldogs,10,L,41,4.0,1.0,6.0,10.0,,1.0,,2.0,,2.0,1.0,2.0,1.0,,,4.0,6,,,,,1.0,50,2024-05-03
Richmond,2024,13↑,Carlton,17,L,41,4.0,1.0,2.0,6.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,2.0,4,,,1.0,,,32,2024-06-21
Richmond,2024,14↑,Fremantle,18,L,41,3.0,1.0,3.0,6.0,,,,1.0,,,,1.0,,1.0,,2.0,5,,,,,,25,2024-06-28
Richmond,2024,15,Greater Western Sydney,19,L,41,8.0,3.0,8.0,16.0,,1.0,,1.0,,3.0,2.0,,,,,6.0,10,,,,,1.0,77,2024-07-05
Richmond,2024,16,Port Adelaide,20,L,41,9.0,,8.0,17.0,,,,2.0,3.0,4.0,5.0,2.0,1.0,1.0,,7.0,10,,,1.0,,1.0,78,2024-07-12
Richmond,2024,17,Collingwood,21,L,41,11.0,3.0,4.0,15.0,1.0,,,2.0,3.0,4.0,1.0,1.0,1.0,,,2.0,11,,,,1.0,1.0,76,2024-07-19
Richmond,2024,18,North Melbourne,22,L,41,10.0,3.0,4.0,14.0,,,,3.0,2.0,3.0,2.0,,,,,3.0,12,,,,,,79,2024-07-26
Richmond,2024,19,St Kilda,23,L,41,15.0,7.0,10.0,25.0,,,,,2.0,5.0,2.0,3.0,,2.0,,7.0,17,,,,,,84,2024-08-02
Richmond,2024,20,Hawthorn,24,L,41,7.0,1.0,9.0,16.0,,,,2.0,2.0,1.0,2.0,1.0,2.0,,,6.0,8,,,1.0,,,81,2024-08-09
