team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2024,1↑,Greater Western Sydney,17,W,19,3.0,1.0,1.0,4,,,,,,2.0,,4.0,,2.0,,1.0,3,,,,,,22,2024-06-21
Adelaide,2024,2↑,Brisbane Lions,18,L,19,2.0,1.0,4.0,6,,1.0,,,,,2.0,2.0,1.0,1.0,,4.0,2,,,,,,21,2024-06-28
Adelaide,2024,3,St Kilda,19,W,19,11.0,2.0,7.0,18,,2.0,,8.0,3.0,2.0,8.0,2.0,2.0,1.0,,12.0,6,,1.0,2.0,,,69,2024-07-05
Adelaide,2024,4,Essendon,20,W,19,6.0,2.0,11.0,17,1.0,,,6.0,1.0,3.0,4.0,1.0,2.0,,,9.0,8,,,,,,68,2024-07-12
Adelaide,2024,5,Hawthorn,21,L,19,3.0,,6.0,9,,,,6.0,1.0,,2.0,5.0,1.0,2.0,,6.0,4,,,,,,63,2024-07-19
Adelaide,2024,6,Geelong,22,L,19,7.0,3.0,7.0,14,,,,5.0,,3.0,1.0,2.0,,,,6.0,8,,1.0,1.0,,,76,2024-07-26
Adelaide,2024,7↑,Western Bulldogs,23,W,19,3.0,1.0,,3,,,,1.0,1.0,,1.0,1.0,,1.0,,2.0,2,,,,,,23,2024-08-02
Adelaide,2024,8↑,Port Adelaide,24,L,19,2.0,,3.0,5,,,,1.0,,,1.0,,,,,3.0,2,,,,,,31,2024-08-09
Adelaide,2024,9,Sydney,25,L,19,7.0,3.0,6.0,13,3.0,1.0,,1.0,,,1.0,1.0,3.0,1.0,,8.0,7,,2.0,,,,72,2024-08-16
Adelaide,2025,10↑,Geelong,6,L,19,4.0,2.0,4.0,8,1.0,,,3.0,,3.0,1.0,,1.0,,,4.0,4,,,,,,36,2025-04-05
Adelaide,2025,11,Greater Western Sydney,7,W,19,4.0,3.0,6.0,10,,2.0,,1.0,1.0,,1.0,,,,,5.0,5,,2.0,2.0,,,71,2025-04-12
Adelaide,2025,12,Fremantle,8,L,19,3.0,3.0,5.0,8,,,,5.0,1.0,1.0,2.0,,1.0,,,2.0,6,,,,,,59,2025-04-19
Adelaide,2025,13,Carlton,9,W,19,7.0,5.0,10.0,17,,,,2.0,2.0,,3.0,2.0,2.0,,,7.0,10,,1.0,,,,69,2025-04-26
Adelaide,2025,14,Port Adelaide,10,W,19,3.0,3.0,5.0,8,,,,3.0,1.0,1.0,1.0,1.0,,,,2.0,5,,,2.0,,,75,2025-05-03
Adelaide,2025,15,Collingwood,11,L,19,5.0,2.0,7.0,12,,,,3.0,1.0,1.0,4.0,,2.0,,,7.0,5,,,1.0,,1.0,73,2025-05-10
Adelaide,2025,16↓,West Coast,12,W,19,3.0,1.0,2.0,5,,1.0,,,2.0,,1.0,,1.0,,,3.0,2,,,,,,46,2025-05-17
Adelaide,2025,17,Melbourne,18,W,19,3.0,3.0,2.0,5,1.0,,,,2.0,,,2.0,,,,1.0,4,,1.0,,,,70,2025-06-28
Adelaide,2025,18,Western Bulldogs,19,W,19,2.0,1.0,5.0,7,,,,2.0,,2.0,,1.0,,1.0,,6.0,3,,,1.0,,2.0,85,2025-07-05
Adelaide,2025,19,Gold Coast,20,W,19,5.0,5.0,6.0,11,,,,3.0,1.0,1.0,,1.0,,,,,11,,,1.0,,1.0,76,2025-07-12
Adelaide,2025,20,Port Adelaide,21,W,19,3.0,,5.0,8,,,,5.0,,,2.0,1.0,,1.0,,6.0,4,,,1.0,,,78,2025-07-19
Adelaide,2025,21,Hawthorn,22,W,19,4.0,2.0,5.0,9,,1.0,,,,2.0,,3.0,,1.0,,3.0,6,,1.0,,,1.0,69,2025-07-26
Adelaide,2025,22,West Coast,23,W,19,11.0,2.0,9.0,20,1.0,1.0,,5.0,1.0,3.0,2.0,2.0,3.0,,,11.0,9,1.0,,1.0,,,70,2025-08-02
Adelaide,2025,23↓,Collingwood,24,W,19,,,6.0,6,,,,3.0,1.0,,1.0,,,,,2.0,5,,,3.0,,,55,2025-08-09
Adelaide,2025,24,North Melbourne,25,W,19,3.0,,4.0,7,1.0,,,3.0,1.0,3.0,,2.0,,2.0,,1.0,8,,,,,1.0,75,2025-08-16
Adelaide,2025,25,Collingwood,QF,L,19,5.0,2.0,3.0,8,,,,4.0,,2.0,1.0,1.0,,,,3.0,5,1.0,,,,1.0,73,2025-09-04
Adelaide,2025,26,Hawthorn,SF,L,19,11.0,5.0,4.0,15,,,,3.0,2.0,4.0,2.0,5.0,3.0,1.0,,4.0,11,,,,,,77,2025-09-12
Adelaide,2026,27,Geelong,4,L,19,5.0,5.0,2.0,7,3.0,,,,,,,,,,,1.0,6,,3.0,1.0,,1.0,66,2026-03-22
Adelaide,2026,28,Fremantle,5,L,19,6.0,3.0,3.0,9,1.0,,,2.0,1.0,2.0,,1.0,,1.0,,3.0,7,,,3.0,,,76,2026-03-29
Adelaide,2026,29,Carlton,6,W,19,5.0,3.0,6.0,11,,,,3.0,2.0,2.0,1.0,1.0,1.0,,,6.0,6,,,2.0,,,75,2026-04-05
Adelaide,2026,30,St Kilda,7,W,19,10.0,3.0,3.0,13,,1.0,,2.0,,7.0,,3.0,2.0,,,4.0,11,,,1.0,1.0,1.0,67,2026-04-12
Adelaide,2026,31,Brisbane Lions,8,L,19,9.0,7.0,6.0,15,,,,1.0,,3.0,,1.0,1.0,,,3.0,12,,,2.0,,,76,2026-04-19
Adelaide,2026,32,Port Adelaide,9,W,19,6.0,4.0,4.0,10,,1.0,,4.0,,1.0,,2.0,,2.0,,2.0,8,,,,,1.0,77,2026-04-26
Adelaide,2026,33,Richmond,10,W,19,10.0,6.0,5.0,15,,1.0,,3.0,,4.0,1.0,1.0,1.0,,,3.0,11,1.0,1.0,1.0,,,67,2026-05-03
Adelaide,2026,34,North Melbourne,11,W,19,6.0,4.0,9.0,15,,1.0,,5.0,,1.0,1.0,1.0,1.0,,,5.0,10,,,1.0,,2.0,71,2026-05-10
Adelaide,2026,35,Hawthorn,12,L,19,7.0,2.0,5.0,12,1.0,,,4.0,,3.0,,1.0,,1.0,,6.0,8,1.0,1.0,2.0,,1.0,76,2026-05-17
Adelaide,2026,36,Geelong,14,W,19,5.0,4.0,6.0,11,1.0,,,6.0,1.0,1.0,1.0,,,,,6.0,6,1.0,,,,1.0,81,2026-05-31
Adelaide,2026,37,Western Bulldogs,15,W,19,11.0,4.0,6.0,17,2.0,,,3.0,,5.0,,1.0,2.0,,,4.0,12,,,2.0,1.0,1.0,80,2026-06-07
Adelaide,2026,38,Melbourne,16,W,19,8.0,1.0,10.0,18,,,,2.0,,2.0,2.0,1.0,1.0,,,8.0,10,,,3.0,,1.0,70,2026-06-14
Adelaide,2026,39,Port Adelaide,17,L,19,4.0,2.0,6.0,10,2.0,,,1.0,1.0,1.0,,2.0,,1.0,,4.0,7,1.0,1.0,,,1.0,70,2026-06-21
Adelaide,2026,40,West Coast,18,W,19,6.0,3.0,9.0,15,,,,3.0,1.0,3.0,,2.0,,,,6.0,9,,,1.0,,1.0,72,2026-06-28
Adelaide,2026,41,Gold Coast,19,W,19,7,2,9,16,,1,,1,1,2,2,3,,2,,5,11,,,,,,84,2026-07-05
