team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2024,1,Richmond,10,W,27,9,4,8,17,,,,2.0,2.0,1.0,,2.0,2.0,1.0,,5,12,,,3.0,,,78,2024-05-03
Western Bulldogs,2024,2,Greater Western Sydney,11,W,27,10,4,2,12,,,,1.0,3.0,5.0,,,1.0,,,3,9,,,4.0,,,75,2024-05-10
Western Bulldogs,2024,3,Sydney,12,L,27,10,6,4,14,,,,2.0,,4.0,1.0,2.0,,,,6,8,1.0,,2.0,,,77,2024-05-17
Western Bulldogs,2024,4,Collingwood,13,W,27,12,7,4,16,,,,,4.0,2.0,,2.0,,,,3,13,,,2.0,,,84,2024-05-24
Western Bulldogs,2024,5,Brisbane Lions,14,L,27,7,3,5,12,,,,,4.0,1.0,,,,,,2,11,,,4.0,1.0,,76,2024-05-31
Western Bulldogs,2024,6,Fremantle,15,W,27,6,6,9,15,,,,1.0,,,,2.0,,1.0,,6,10,,,,1.0,,83,2024-06-07
Western Bulldogs,2024,7,North Melbourne,17,W,27,8,6,11,19,,,,2.0,,2.0,1.0,3.0,1.0,1.0,,10,13,,,6.0,1.0,,83,2024-06-21
Western Bulldogs,2024,8↑,Port Adelaide,18,L,27,5,2,2,7,1.0,,,2.0,2.0,1.0,,1.0,,,,1,5,,,,1.0,,45,2024-06-28
Western Bulldogs,2024,9,Carlton,19,W,27,6,3,6,12,,,,1.0,2.0,2.0,,2.0,,,,7,6,1.0,,3.0,,,73,2024-07-05
Western Bulldogs,2024,10,Geelong,20,W,27,10,7,8,18,,,,1.0,2.0,2.0,,,,,,5,12,,,2.0,,,82,2024-07-12
Western Bulldogs,2024,11,North Melbourne,24,W,27,17,13,12,29,,,,1.0,4.0,2.0,,1.0,,1.0,,5,24,1.0,,6.0,,2.0,84,2024-08-09
Western Bulldogs,2024,12,Greater Western Sydney,25,W,27,8,2,8,16,,1.0,,4.0,1.0,1.0,,7.0,1.0,2.0,,9,7,,,2.0,,,72,2024-08-16
Western Bulldogs,2024,13,Hawthorn,EF,L,27,14,7,5,19,,1.0,,,3.0,3.0,1.0,1.0,1.0,,,4,15,,,4.0,2.0,2.0,82,2024-03-01
Western Bulldogs,2025,14,North Melbourne,2,W,27,14,6,14,28,1.0,,,3.0,3.0,3.0,2.0,3.0,,1.0,,8,19,,,1.0,3.0,1.0,88,2025-03-08
Western Bulldogs,2025,15,Collingwood,3,L,27,9,1,14,23,1.0,1.0,,4.0,3.0,1.0,4.0,4.0,,2.0,,12,13,,,3.0,1.0,,80,2025-03-15
Western Bulldogs,2025,16,Carlton,4,W,27,7,4,9,16,,,,4.0,3.0,3.0,1.0,3.0,2.0,2.0,,6,12,,,4.0,,,83,2025-03-22
Western Bulldogs,2025,17,Fremantle,5,L,27,6,1,9,15,,,,2.0,,2.0,5.0,3.0,,1.0,,7,7,,,1.0,,,79,2025-03-29
Western Bulldogs,2025,18,Brisbane Lions,6,L,27,9,3,8,17,1.0,3.0,,,1.0,2.0,1.0,2.0,,,,4,13,,1.0,,,,86,2025-04-05
Western Bulldogs,2025,19,St Kilda,7,W,27,15,4,9,24,2.0,,,2.0,,5.0,6.0,,1.0,,,12,14,,,4.0,1.0,,79,2025-04-12
Western Bulldogs,2025,20,Greater Western Sydney,8,W,27,13,4,14,27,,,,1.0,3.0,5.0,9.0,5.0,1.0,,,19,11,,,6.0,,2.0,79,2025-04-19
Western Bulldogs,2025,21,Port Adelaide,9,W,27,13,5,6,19,1.0,,,4.0,2.0,7.0,5.0,2.0,,1.0,,6,14,,,2.0,,,85,2025-04-26
Western Bulldogs,2025,22,Gold Coast,10,L,27,14,5,10,24,,,,4.0,1.0,4.0,4.0,4.0,,,,7,17,,,2.0,,1.0,85,2025-05-03
Western Bulldogs,2025,23,Essendon,11,W,27,9,3,12,21,,,,2.0,,5.0,,4.0,,1.0,,5,17,,,3.0,,1.0,82,2025-05-10
Western Bulldogs,2025,24,Geelong,12,L,27,7,3,8,15,1.0,1.0,,3.0,,4.0,2.0,4.0,,2.0,,6,12,,,2.0,,,80,2025-05-17
Western Bulldogs,2025,25,Hawthorn,14,L,27,11,3,9,20,,,,3.0,6.0,2.0,2.0,2.0,,,,10,10,1.0,,2.0,2.0,,85,2025-05-31
Western Bulldogs,2025,26,St Kilda,15,W,27,9,4,12,21,1.0,,,4.0,1.0,3.0,4.0,2.0,1.0,2.0,,8,14,1.0,,2.0,,,80,2025-06-07
Western Bulldogs,2025,27,Richmond,16,W,27,11,3,7,18,,1,,2,1,3,5,2,,2,,5,10,,,2,,2,85,2025-06-14
