team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2022,1↓,Collingwood,13,L,42,3,2.0,2.0,5,,,,2.0,,1.0,1.0,1.0,,,,2,3.0,,,2.0,,,49,2022-05-24
Melbourne,2023,2↓,Gold Coast,8,W,42,8,3.0,1.0,9,,,,2.0,2.0,,,2.0,1.0,1.0,,2,7.0,1.0,,,,,74,2023-04-19
Melbourne,2023,3,Sydney,24,W,42,9,4.0,2.0,11,,,,4.0,3.0,,,5.0,,2.0,,3,6.0,1.0,,6.0,,,88,2023-08-09
Melbourne,2024,4,Richmond,8,W,42,10,8.0,3.0,13,3.0,1.0,,1.0,,6.0,,1.0,1.0,,,6,7.0,1.0,4.0,2.0,,1.0,70,2024-04-19
Melbourne,2024,5,Geelong,9,W,42,2,3.0,3.0,5,,,,1.0,,2.0,,1.0,,1.0,,3,2.0,2.0,,,,,70,2024-04-26
Melbourne,2024,6,Carlton,10,L,42,2,2.0,3.0,5,1.0,,,2.0,,2.0,,2.0,,1.0,,1,4.0,,,1.0,,,65,2024-05-03
Melbourne,2024,7,Fremantle,13,L,42,2,1.0,4.0,6,,1.0,,1.0,,1.0,,4.0,1.0,2.0,,2,4.0,1.0,,2.0,,,87,2024-05-24
Melbourne,2024,8,Collingwood,14,L,42,8,7.0,5.0,13,,1.0,,,,2.0,,3.0,1.0,,,5,7.0,,1.0,3.0,,,73,2024-05-31
Melbourne,2024,9,North Melbourne,16,W,42,4,4.0,2.0,6,2.0,,,,,2.0,,1.0,,1.0,,2,5.0,1.0,2.0,1.0,,,74,2024-06-14
Melbourne,2024,10,Brisbane Lions,17,L,42,9,5.0,1.0,10,1.0,,,1.0,,3.0,,1.0,,,,4,6.0,3.0,1.0,,,1.0,69,2024-06-21
Melbourne,2024,11,West Coast,18,W,42,4,3.0,4.0,8,1.0,,2.0,1.0,,2.0,,1.0,,,,3,5.0,1.0,1.0,2.0,,1.0,76,2024-06-28
Melbourne,2024,12,Essendon,19,W,42,5,4.0,3.0,8,3.0,,,3.0,,2.0,,1.0,1.0,1.0,,3,5.0,,3.0,2.0,,,68,2024-07-05
Melbourne,2024,13,Fremantle,20,L,42,6,5.0,1.0,7,1.0,,,2.0,,1.0,,2.0,,,,1,6.0,1.0,1.0,1.0,,,74,2024-07-12
Melbourne,2024,14↑,Greater Western Sydney,21,L,42,2,,,2,,,,,,1.0,,1.0,,1.0,,2,,,,,,,26,2024-07-19
Melbourne,2024,15↑,Western Bulldogs,22,L,42,5,3.0,,5,,,,1.0,3.0,1.0,,3.0,,3.0,,1,4.0,,,6.0,,,51,2024-07-26
Melbourne,2024,16,Port Adelaide,23,L,42,6,4.0,5.0,11,,,,1.0,,6.0,,2.0,1.0,,,6,5.0,1.0,,1.0,,1.0,72,2024-08-02
