team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2024,1↓,Port Adelaide,9,W,6,5.0,4.0,4,9,,,,,,1.0,,,,,,3.0,6,,,1.0,,,56,2024-04-26
Adelaide,2024,2↓,Brisbane Lions,10,D,6,1.0,1.0,4,5,,,,,1.0,,,2.0,,2.0,,1.0,4,,,1.0,,,38,2024-05-03
Adelaide,2024,3↑,Hawthorn,21,L,6,2.0,,5,7,,,,1.0,,1.0,2.0,,1.0,,,2.0,5,,,1.0,,,25,2024-07-19
Adelaide,2024,4↑,Geelong,22,L,6,,,1,1,,,,,,,,,,,,,1,,,,,,6,2024-07-26
Adelaide,2024,5,Western Bulldogs,23,W,6,6.0,5.0,5,11,2.0,,,2.0,,1.0,3.0,,,,,7.0,4,2.0,2.0,,,,70,2024-08-02
Adelaide,2024,6,Port Adelaide,24,L,6,8.0,2.0,3,11,,,,3.0,,3.0,1.0,2.0,2.0,1.0,,5.0,6,,,,,,60,2024-08-09
Adelaide,2024,7,Sydney,25,L,6,7.0,4.0,3,10,1.0,,,1.0,,1.0,,2.0,,,,4.0,5,1.0,1.0,1.0,1.0,1.0,68,2024-08-16
Adelaide,2025,8,St Kilda,2,W,6,3.0,3.0,4,7,,,,1.0,1.0,1.0,,,,,,3.0,5,1.0,,1.0,,,70,2025-03-08
Adelaide,2025,9,Essendon,3,W,6,8,5,5,13,1,,,4,1,1,2,1,2,,,5,9,1,1,1,,1,76,2025-03-15
Adelaide,2025,10,North Melbourne,4,W,6,11,5,4,15,2,,,3,2,2,,1,1,,,4,10,,2,1,3,1,77,2025-03-22
Adelaide,2025,11,Gold Coast,5,L,6,7,3,5,12,,,,3,,,,,1,,,7,7,1,,2,,2,77,2025-03-29
